home_goals_for_last5,home_goals_against_last5,home_points_last5,home_gd_last5,away_goals_for_last5,away_goals_against_last5,away_points_last5,away_gd_last5,y
2.0,1.0,3.0,1.0,1.0,2.0,0.0,-1.0,2
1.0,3.0,0.0,-2.0,1.0,2.0,0.0,-1.0,2
2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,0
0.5,1.5,0.0,-1.0,1.5,1.5,1.5,0.0,0
1.5,0.5,3.0,1.0,1.0,2.0,0.0,-1.0,2
2.5,0.5,3.0,2.0,1.5,0.5,3.0,1.0,2
1.0,2.0,0.0,-1.0,1.0,1.5,1.5,-0.5,1
0.0,1.0,0.0,-1.0,1.5,2.0,1.5,-0.5,2
1.3333333333333333,2.3333333333333335,1.0,-1.0,1.6666666666666667,0.3333333333333333,3.0,1.3333333333333333,2
1.3333333333333333,1.0,2.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,3.0,1.6666666666666667,1
0.5,2.0,0.0,-1.5,0.3333333333333333,1.3333333333333333,0.0,-1.0,1
1.3333333333333333,1.0,2.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,-0.6666666666666666,2
0.6666666666666666,1.0,1.3333333333333333,-0.3333333333333333,1.5,1.0,1.5,0.5,1
1.0,2.0,0.3333333333333333,-1.0,1.75,0.5,2.5,1.25,1
1.5,1.75,1.5,-0.25,1.0,1.75,0.5,-0.75,0
1.6,0.6,2.2,1.0,0.75,1.5,0.25,-0.75,2
1.25,0.75,2.25,0.5,0.75,1.0,1.25,-0.25,2
1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,1.5,1.0,2.25,0.5,1
0.75,1.5,0.25,-0.75,1.0,0.75,1.75,0.25,2
0.0,2.0,0.0,-2.0,0.0,0.0,1.0,0.0,2
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2
1.0,2.0,0.0,-1.0,1.0,0.0,3.0,1.0,1
0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,2
0.0,1.0,0.0,-1.0,2.0,1.0,3.0,1.0,2
0.0,1.0,0.0,-1.0,1.0,2.0,0.0,-1.0,2
0.0,3.0,0.0,-3.0,1.0,0.0,3.0,1.0,2
0.6,1.6,1.0,-1.0,1.2,1.8,1.2,-0.6,0
0.0,1.0,0.0,-1.0,1.0,0.0,3.0,1.0,1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0
0.0,1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,2
